bookID,authors
1371,Homer/Robert Fagles/Bernard Knox
1373,Homer/Stanley Lombardo/Sheila Murnaghan
1374,Homer/Robert Fitzgerald/Andrew Ford
1375,Homer/Robert Fagles/Bernard Knox
1376,Homer/E.V. Rieu/Peter Jones/D.C.H. Rieu
1377,Homer/W.H.D. Rouse
1378,Homer/Sheila Murnaghan/Stanley Lombardo
1381,Homer/Robert Fagles/Bernard Knox
1382,Homer/Robert Fitzgerald/D.S. Carne-Ross
1383,Homer/Richmond Lattimore
1384,Homer/E.V. Rieu/Peter Jones/D.C.H. Rieu
1387,Homer/W.H.D. Rouse
1391,Virgil/Barbara Weiden Boyd
1402,Virgil/Henry Rushton Fairclough/G.P. Goold
1403,Ed Roberson
1405,Virgil/Cecil Day-Lewis
1408,Paul  Kirk
1417,William Shakespeare/Stephen Orgel/A.R. Braunmuller
1419,William Shakespeare
1420,William Shakespeare/Harold Bloom/Rex Gibson
1423,Reduced Shakespeare Company/Adam Long/Daniel Singer/Jess Winfield
1424,Paulo Coelho/Alan R. Clarke
1425,Paulo Coelho/Alan R. Clarke
1426,Paulo Coelho
1427,Paulo Coelho/Margaret Jull Costa
1428,Paulo Coelho/Alan R. Clarke
1429,Paulo Coelho/Clifford E. Landers
1431,Paulo Coelho/Margaret Jull Costa/Kâmuran Şipal
1433,William Shakespeare/Stephen Orgel/A.R. Braunmuller
1437,Carla Lynn Stockton
1438,William Shakespeare/Terri Mategrano
1439,Giorgio De Santillana/Hertha Von Dechend
1440,Thucydides/C.F. Smith
1441,Thucydides/Paul Woodruff
1444,Thucydides/C.F. Smith
1445,Thucydides/Steven Lattimore
1449,Thucydides/Jennifer Tolbert Roberts/Walter Blanco
1459,Thucydides/C.F. Smith
1461,Cynthia W. Shelmerdine
1462,Euripides/Richmond Lattimore/David Grene/Rex Warner/Ralph Gladstone
1463,Euripides/David Grene/Richmond Lattimore/Emily Townsend Vermeule/Elizabeth Wyckoff/William Arrowsmith
1465,Euripides/David Grene/Richmond Lattimore/William Arrowsmith/Frank William Jones/Charles R. Walker
1466,Anne Carson/Euripides
1467,Euripides/Moses Hadas/John Maclean
1468,Euripides/David Grene/Richmond Lattimore/William Arrowsmith/John Frederick Nims/Ronald Frederick Willetts
1470,Euripides/David Grene/Richmond Lattimore/Witter Bynner/William Arrowsmith
1473,Euripides/John Davie/Richard Rutherford
1474,Euripides/David Kovacs
1475,Euripides/Donald J. Mastronarde
1476,Euripides/John Davie/Richard Rutherford
1479,Euripides/Reginald Gibbons/Peter H. Burian
1480,Euripides/David Thompson/J. Michael Walton
1486,Euripides
1488,Wole Soyinka
1489,Euripides/James Morwood/Robin Waterfield
1491,Euripides/David Kovacs
1494,Euripides/William Arrowsmith
1495,Euripides/David Kovacs
1499,Euripides/Georgia Ann Machemer/Michael   Collier
1504,William Allan
1506,Robert J. Milch
1509,Euripides/David Kovacs
1510,Euripides/David Kovacs
1511,Euripides/Pantelis Michelakis
1515,Euripides/David Grene/Richmond Lattimore
1516,Aeschylus/David Grene/Richmond Lattimore
1517,Aeschylus/David Grene/Richmond Lattimore/Seth Benardete
1518,Aeschylus/Alan Shapiro/Peter H. Burian
1519,Aeschylus/Robert Fagles/William Bedell Stanford
1521,Aeschylus/Peter Meineck/Helene P. Foley
1523,Aeschylus/Philip Vellacott
1525,Aeschylus/Ted Hughes
1526,Aeschylus/David R. Slavitt/Smith Palmer Bovie
1527,Aeschylus/Richmond Lattimore/David Grene
1529,Simon Goldhill
1530,Aeschylus/George Thomson/Richard Seaford
1531,Aeschylus/David R. Slavitt/Smith Palmer Bovie
1532,Aeschylus/E.D.A. Morshead
1533,Aeschylus/E.D.A. Morshead
1536,Sophocles/David Grene/Richmond Lattimore/John Moore/Michael Jameson
1537,Sophocles/Paul Roche
1538,Sophocles/Paul Roche
1540,Sophocles/Robert Fitzgerald/Dudley Fitts
1542,Sophocles/Robert Fagles/Bernard Knox
1546,Sophocles/Peter Meineck/Paul Woodruff
1547,Sophocles/David Grene/Charles Segal
1548,Sophocles/E.F. Watling
1549,Sophocles/Edith Hall/H.D.F. Kitto
1554,Sophocles/J.E. Thomas
1555,Sophocles/Paul Roche
1558,Sophocles/Roger D. Dawe
1559,Sophocles/Bernard Knox/Cynthia Brantley Johnson
1560,Aristophanes/William Arrowsmith/Richmond Lattimore/Douglass Parker
1561,Aristophanes/Jeffrey Henderson
1562,Aristophanes/Moses Hadas
1563,Aristophanes/David R. Slavitt
1566,Aristophanes/Peter Meineck
1567,Aristophanes/Alan H. Sommerstein
1568,Aristophanes/Jeffrey Henderson
1571,Aristophanes/Kenneth James Dover
1572,Aristophanes/Jeffrey Henderson
1576,Aristophanes/David B. Barrett
1577,Aristophanes/Dudley Fitts
1579,Aristophanes/Jeffrey Henderson
1584,W. John Campbell
1585,Douglas M. MacDowell
1586,Aristophanes/Douglass Parker
1590,Aristophanes/S. Douglas Olson
1591,Aristophanes/Sarah Ruden
1592,Aristophanes/Alan H. Sommerstein/David B. Barrett/David Brett
1595,Andrea Wilson Nightingale
1618,Mark Haddon
1620,George Pelecanos
1625,William Shakespeare
1627,Annie Proulx
1633,David    Allen
1634,Geoffrey M. Bellman
1642,Ricardo Piglia
1643,Ricardo Piglia
1645,Ricardo Piglia/Amanda Hopkinson
1646,Ricardo Piglia
1654,Ricardo Piglia
1658,Karen  O'Connor/Larry J. Sabato
1664,Karen  O'Connor/Larry J. Sabato
1667,Ernesto Sabato
1681,Augustine of Hippo/John E. Rotelle/Maria Boulding
1684,Augustine of Hippo/Thomas Merton/Marcus Dods
1685,Augustine of Hippo/Bruce Harbert/John E. Rotelle
1686,Peter R.L. Brown
1693,Augustine of Hippo/D.W. Robertson Jr.
1698,Augustine of Hippo/Peter R.L. Brown/Frank Sheed
1702,Garry Wills
1703,Henry Chadwick
1707,Augustine of Hippo/Boniface Ramsey/Edmund Hill
1709,Anthony Bourdain
1710,Anthony Bourdain
1713,Ovid/Allen Mandelbaum
1715,Ovid/David Raeburn/Denis Feeney
1718,Ovid/Bernard Knox/Charles    Martin
1720,Ovid/William Scovil Anderson
1721,Ovid/William Scovil Anderson
1722,Norma Goldman/Jacob E. Nyenhuis
1725,Ovid/J.H. Mozley/G.P. Goold
1728,Ovid/Peter Green
1729,Ovid/Frank Justus Miller
1730,Ovid/Frank Justus Miller
1731,Norma Goldman/Michael  Rossi
1744,Michael C.J. Putnam
1750,Charles Segal
1752,Sophocles/Reginald Gibbons/Charles Segal
1761,Sophocles/Reginald Gibbons/Charles Segal
1771,Richard Johnsonbaugh/Martin Kalin
1796,Homer/Robert Fitzgerald
1800,Simon Goldhill
1801,Simon Goldhill
1804,Simon Goldhill
1805,Simon Goldhill
1814,Daniel Pinchbeck
1815,Daniel Pinchbeck/Lee Fukui
1823,Jon Ronson
1824,Jon Ronson
1839,Jared Diamond
1843,Daniel Duane
1845,Jon Krakauer
1846,John Eldredge
1848,Jung Chang
1849,Nelson DeMille
1850,Catherine Coulter
1852,Jack London/Avi
1853,Judy Sierra/Marc Brown
1856,Charles P. Rubenstein
1869,Barbara Ehrenreich
1877,Michel Foucault/Robert Hurley
1879,Michel Foucault/Robert Hurley
1883,Michel Foucault/Robert Hurley
1887,Sue Birtwistle/Sue Conklin/Susie Conklin
1888,Jane Austen
1889,Jane Austen/Vivien Jones
1891,Jane Austen/George Saintsbury/Hugh  Thomson
1893,Jane Austen/Carol Howard
1894,Jon Krakauer
1896,David  Roberts/Jon Krakauer
1898,Jon Krakauer
1902,Valerian Albanov/Jon Krakauer/David  Roberts/Alison Anderson/Валериан �?льбанов
1911,Thomas L. Friedman
1914,Thomas L. Friedman
1925,David McClung/Peter Schaerer
1931,Arthur J. Roth
1934,Louisa May Alcott
1935,Louisa May Alcott/Scott McKowen
1936,Louisa May Alcott/Paula Danziger
1937,Louisa May Alcott/Jessie Willcox Smith/Frank T. Merrill
1946,Louisa May Alcott/Elaine Showalter
1947,Louisa May Alcott
1955,Charles Dickens/Keith Cox/Cynthia Brantley Johnson
1957,Charles Dickens/Gillen D'Arcy Wood
1958,SparkNotes
1959,Charles Dickens/Gillen D'Arcy Wood
1960,Charles Dickens/Simon Schama
1972,James B. Stewart
1976,Julia Golding
1982,Charles Dickens
1984,Charles Dickens/Mary Gaitskill/Hablot Knight Browne
1985,Charles Dickens/Gish Jen
1987,Daniel Pool
1988,Jane Smiley
1990,Charles Dickens/Patricia Ingham/Hablot Knight Browne
1991,Jared Diamond
1993,Jared Diamond
1999,Colleen Sexton
2002,J.K. Rowling
2004,Philip Nel
2005,J.K. Rowling
2010,Frank Herbert
2011,Frank Herbert
2015,Frank Herbert
2019,Sean O'Brien
2022,Aristophanes/B.B. Rogers
2025,Aristophanes/Jeffrey Henderson
2026,Radcliffe G. Edmonds III
2028,Aristophanes/Robert Mayhew
2034,Aristophanes/F.W. Hall/W.M. Geldart
2043,Paul Anthony Cartledge
2045,Raymond Chandler/Frank MacShane
2046,Raymond Chandler/Frank MacShane
2048,Raymond Chandler/Tom Hiney
2049,Raymond Chandler
2051,Raymond Chandler
2052,Raymond Chandler
2054,Raymond Chandler
2056,Paul Murray
2057,Patti   Davis
2058,Masaki Yamada/Yuji Oniki/Carl Gustav Horn
2059,Raymond Chandler
2067,Daniel C. Dennett
2068,Daniel C. Dennett
2071,Daniel C. Dennett
2072,Daniel C. Dennett
2074,Daniel C. Dennett
2077,Nicholas Humphrey/Daniel C. Dennett
2078,Daniel C. Dennett
2081,Douglas R. Hofstadter/Daniel C. Dennett
2093,Stephen Hawking
2094,Stephen Hawking/Leonard Mlodinow
2095,Stephen Hawking
2096,Stephen Hawking
2099,David Filkin/Stephen Hawking
2100,Stephen Hawking/Kip S. Thorne/Igor Novikov/Timothy Ferris/Alan Lightman/Richard     Price
2102,John Boslough
2103,Stephen Hawking/Roger Penrose
2104,Lawrence M. Krauss/Stephen Hawking
2107,Phillip Glasier
2109,Timothy Ferris
2112,Ayn Rand/Robert Mayhew/Peter   Schwartz
2113,Ayn Rand/Leonard Peikoff/David Harriman
2122,Ayn Rand/Leonard Peikoff
2123,Nancy L. Mace/Peter V. Rabins
2126,Jorge Cruise
2127,Thom Hartmann/Joseph Chilton Pearce/Neale Donald Walsch
2136,Michael Cunningham
2137,Michael Cunningham
2140,Malcolm Gladwell
2142,Ted Dekker
2144,Mark Hoppus/Anne Hoppus/Alex Gaskarth
2151,Jane Austen/Hugh  Thomson
2152,Karen Joy Fowler
2153,Jane Austen
2155,Jane Austen/Deirdre Le Faye
2156,Jane Austen/James Kinsley/Anna Massey/Richard S. Hartmetz/Maurgaux Motin/Deidre Shauna Lynch
2157,Kim Wilson/Tom Carpenter
2166,Ernest Hemingway/Donald Sutherland
2167,Jeanne Sallade Criswell/Gary Carey
2176,Julian Barnes
2178,Gustave Flaubert/Francis Steegmuller
2179,Gustave Flaubert/Douglas Parmée
2182,Gustave Flaubert/Roger Whitehouse/Geoffrey Wall
2183,Gustave Flaubert/Robert Baldick/Geoffrey Wall
2186,Jean-Paul Sartre/Carol Cosman
2187,Jeffrey Eugenides
2199,Doris Kearns Goodwin
2203,David McCullough
2204,Thomas May/John   Adams
2205,Abigail Adams/Frank Shuffelton
2209,Joseph J. Ellis
2211,John  Adams/John Patrick Diggins
2218,Ruth Westheimer
2219,Jennifer Watson
2222,David D. Burns
2226,Elisabeth Kübler-Ross
2227,Elisabeth Kübler-Ross
2228,Lynne Ann DeSpelder/Albert Lee Strickland
2236,Mark Shepard
2249,Stephen R. Covey
2250,Stephen R. Covey
2253,Stephen R. Covey
2255,Dan Millman
2257,Dan Millman/Robert D. San Souci/T. Taylor Bruce
2265,Lance Armstrong/Sally Jenkins
2267,John Wilcockson/Graham   Watson
2279,David McCullough
2281,Truman Capote/Reynolds Price
2282,Truman Capote
2283,Margaret Truman
2285,Margaret Truman
2287,Truman Capote
2289,Truman Capote/Scott Brick
2296,Steven Johnson
2299,Temple Grandin/Margaret M. Scariano
2304,Iris Fry
2305,Edith Wharton/Laszlo Kubinyi
2306,Edith Wharton/R.W.B. Lewis
2307,Edith Wharton/Maureen Howard
2309,Edith Wharton/Cynthia Griffin Wolff
2314,Edith Wharton
2315,Zilpha Keatley Snyder/Alton Raible
2319,Zilpha Keatley Snyder
2322,Douglas Adams/John Lloyd
2326,Douglas Adams
2327,J.R.R. Tolkien/Humphrey Carpenter/Christopher Tolkien
2329,J.R.R. Tolkien/Christopher Tolkien
2330,Ruth S. Noel/J.R.R. Tolkien
2331,J.R.R. Tolkien
2333,J.R.R. Tolkien/Christina Scull/Wayne G. Hammond
2336,Bryce Courtenay
2338,Bryce Courtenay
2343,Bryce Courtenay
2348,E.V. Gordon/A.R. Taylor
2353,Sarah M.  Anderson/Karen Swenson
2367,David McCullough
2368,David McCullough
2370,David McCullough
2371,David McCullough
2372,David McCullough
2373,Jeffery Deaver
2375,Paul Yee
2378,Jeffery Deaver
2386,Herman Melville/William Hootkins
2388,Jan Needle/Patrick Benson/Herman Melville
2389,Herman Melville/William Hootkins
2390,Herman Melville/Carl F. Hovde
2400,Michael J. Davey/Duncan Wu
2404,Geraldine McCaughrean/Victor G. Ambrus/Herman Melville
2407,Edward F. Edinger
2409,Geraldine McCaughrean/Victor G. Ambrus/Herman Melville
2411,Julian Markels
2412,Elizabeth A. Schultz
2423,Steve Martini
2430,Steve Martini
2442,Terry Pratchett
2443,Mark Twain/Grover Gardner
2445,Susan  Griffith
2452,Theocritus/Kenneth James Dover
2473,Hesiod/Glenn W. Most
2486,Wole Soyinka/Simon Gikandi
