bookID,authors
1382,HomerRobert FitzgeraldDS CarneRoss
1383,HomerRichmond Lattimore
1384,HomerEV RieuPeter JonesDCH Rieu
1387,HomerWHD Rouse
1391,VirgilBarbara Weiden Boyd
1402,VirgilHenry Rushton FaircloughGP Goold
1403,Ed Roberson
1405,VirgilCecil DayLewis
1408,Paul  Kirk
1417,William ShakespeareStephen OrgelAR Braunmuller
1419,William Shakespeare
1420,William ShakespeareHarold BloomRex Gibson
1423,Reduced Shakespeare CompanyAdam LongDaniel SingerJess Winfield
1424,Paulo CoelhoAlan R Clarke
1425,Paulo CoelhoAlan R Clarke
1426,Paulo Coelho
1427,Paulo CoelhoMargaret Jull Costa
1428,Paulo CoelhoAlan R Clarke
1429,Paulo CoelhoClifford E Landers
1431,Paulo CoelhoMargaret Jull CostaKmuran ipal
1433,William ShakespeareStephen OrgelAR Braunmuller
1437,Carla Lynn Stockton
1438,William ShakespeareTerri Mategrano
1439,Giorgio De SantillanaHertha Von Dechend
1440,ThucydidesCF Smith
1441,ThucydidesPaul Woodruff
1444,ThucydidesCF Smith
1445,ThucydidesSteven Lattimore
1449,ThucydidesJennifer Tolbert RobertsWalter Blanco
1459,ThucydidesCF Smith
1461,Cynthia W Shelmerdine
1462,EuripidesRichmond LattimoreDavid GreneRex WarnerRalph Gladstone
1463,EuripidesDavid GreneRichmond LattimoreEmily Townsend VermeuleElizabeth WyckoffWilliam Arrowsmith
1465,EuripidesDavid GreneRichmond LattimoreWilliam ArrowsmithFrank William JonesCharles R Walker
1466,Anne CarsonEuripides
1467,EuripidesMoses HadasJohn Maclean
1468,EuripidesDavid GreneRichmond LattimoreWilliam ArrowsmithJohn Frederick NimsRonald Frederick Willetts
1470,EuripidesDavid GreneRichmond LattimoreWitter BynnerWilliam Arrowsmith
1473,EuripidesJohn DavieRichard Rutherford
1474,EuripidesDavid Kovacs
1475,EuripidesDonald J Mastronarde
1476,EuripidesJohn DavieRichard Rutherford
1479,EuripidesReginald GibbonsPeter H Burian
1480,EuripidesDavid ThompsonJ Michael Walton
1486,Euripides
1488,Wole Soyinka
1489,EuripidesJames MorwoodRobin Waterfield
1491,EuripidesDavid Kovacs
1494,EuripidesWilliam Arrowsmith
1495,EuripidesDavid Kovacs
1499,EuripidesGeorgia Ann MachemerMichael   Collier
1504,William Allan
1506,Robert J Milch
1509,EuripidesDavid Kovacs
1510,EuripidesDavid Kovacs
1511,EuripidesPantelis Michelakis
1515,EuripidesDavid GreneRichmond Lattimore
1516,AeschylusDavid GreneRichmond Lattimore
1517,AeschylusDavid GreneRichmond LattimoreSeth Benardete
1518,AeschylusAlan ShapiroPeter H Burian
1519,AeschylusRobert FaglesWilliam Bedell Stanford
1521,AeschylusPeter MeineckHelene P Foley
1523,AeschylusPhilip Vellacott
1525,AeschylusTed Hughes
1526,AeschylusDavid R SlavittSmith Palmer Bovie
1527,AeschylusRichmond LattimoreDavid Grene
1529,Simon Goldhill
1530,AeschylusGeorge ThomsonRichard Seaford
1531,AeschylusDavid R SlavittSmith Palmer Bovie
1532,AeschylusEDA Morshead
1533,AeschylusEDA Morshead
1536,SophoclesDavid GreneRichmond LattimoreJohn MooreMichael Jameson
1537,SophoclesPaul Roche
1538,SophoclesPaul Roche
1540,SophoclesRobert FitzgeraldDudley Fitts
1542,SophoclesRobert FaglesBernard Knox
1546,SophoclesPeter MeineckPaul Woodruff
1547,SophoclesDavid GreneCharles Segal
1548,SophoclesEF Watling
1549,SophoclesEdith HallHDF Kitto
1554,SophoclesJE Thomas
1555,SophoclesPaul Roche
1558,SophoclesRoger D Dawe
1559,SophoclesBernard KnoxCynthia Brantley Johnson
1560,AristophanesWilliam ArrowsmithRichmond LattimoreDouglass Parker
1561,AristophanesJeffrey Henderson
1562,AristophanesMoses Hadas
1563,AristophanesDavid R Slavitt
1566,AristophanesPeter Meineck
1567,AristophanesAlan H Sommerstein
1568,AristophanesJeffrey Henderson
1571,AristophanesKenneth James Dover
1572,AristophanesJeffrey Henderson
1576,AristophanesDavid B Barrett
1577,AristophanesDudley Fitts
1579,AristophanesJeffrey Henderson
1584,W John Campbell
1585,Douglas M MacDowell
1586,AristophanesDouglass Parker
1590,AristophanesS Douglas Olson
1591,AristophanesSarah Ruden
1592,AristophanesAlan H SommersteinDavid B BarrettDavid Brett
1595,Andrea Wilson Nightingale
1618,Mark Haddon
1620,George Pelecanos
1625,William Shakespeare
1627,Annie Proulx
1633,David    Allen
1634,Geoffrey M Bellman
1642,Ricardo Piglia
1643,Ricardo Piglia
1645,Ricardo PigliaAmanda Hopkinson
1646,Ricardo Piglia
1654,Ricardo Piglia
1658,Karen  OConnorLarry J Sabato
1664,Karen  OConnorLarry J Sabato
1667,Ernesto Sabato
1681,Augustine of HippoJohn E RotelleMaria Boulding
1684,Augustine of HippoThomas MertonMarcus Dods
1685,Augustine of HippoBruce HarbertJohn E Rotelle
1686,Peter RL Brown
1693,Augustine of HippoDW Robertson Jr
1698,Augustine of HippoPeter RL BrownFrank Sheed
1702,Garry Wills
1703,Henry Chadwick
1707,Augustine of HippoBoniface RamseyEdmund Hill
1709,Anthony Bourdain
1710,Anthony Bourdain
1713,OvidAllen Mandelbaum
1715,OvidDavid RaeburnDenis Feeney
1718,OvidBernard KnoxCharles    Martin
1720,OvidWilliam Scovil Anderson
1721,OvidWilliam Scovil Anderson
1722,Norma GoldmanJacob E Nyenhuis
1725,OvidJH MozleyGP Goold
1728,OvidPeter Green
1729,OvidFrank Justus Miller
1730,OvidFrank Justus Miller
1731,Norma GoldmanMichael  Rossi
1744,Michael CJ Putnam
1750,Charles Segal
1752,SophoclesReginald GibbonsCharles Segal
1761,SophoclesReginald GibbonsCharles Segal
1771,Richard JohnsonbaughMartin Kalin
1796,HomerRobert Fitzgerald
1800,Simon Goldhill
1801,Simon Goldhill
1804,Simon Goldhill
1805,Simon Goldhill
1814,Daniel Pinchbeck
1815,Daniel PinchbeckLee Fukui
1823,Jon Ronson
1824,Jon Ronson
1839,Jared Diamond
1843,Daniel Duane
1845,Jon Krakauer
1846,John Eldredge
1848,Jung Chang
1849,Nelson DeMille
1850,Catherine Coulter
1852,Jack LondonAvi
1853,Judy SierraMarc Brown
1856,Charles P Rubenstein
1869,Barbara Ehrenreich
1877,Michel FoucaultRobert Hurley
1879,Michel FoucaultRobert Hurley
1883,Michel FoucaultRobert Hurley
1887,Sue BirtwistleSue ConklinSusie Conklin
1888,Jane Austen
1889,Jane AustenVivien Jones
1891,Jane AustenGeorge SaintsburyHugh  Thomson
1893,Jane AustenCarol Howard
1894,Jon Krakauer
1896,David  RobertsJon Krakauer
1898,Jon Krakauer
1902,Valerian AlbanovJon KrakauerDavid  RobertsAlison Anderson 
1911,Thomas L Friedman
1914,Thomas L Friedman
1925,David McClungPeter Schaerer
1931,Arthur J Roth
1934,Louisa May Alcott
1935,Louisa May AlcottScott McKowen
1936,Louisa May AlcottPaula Danziger
1937,Louisa May AlcottJessie Willcox SmithFrank T Merrill
1946,Louisa May AlcottElaine Showalter
1947,Louisa May Alcott
1955,Charles DickensKeith CoxCynthia Brantley Johnson
1957,Charles DickensGillen DArcy Wood
1958,SparkNotes
1959,Charles DickensGillen DArcy Wood
1960,Charles DickensSimon Schama
1972,James B Stewart
1976,Julia Golding
1982,Charles Dickens
1984,Charles DickensMary GaitskillHablot Knight Browne
1985,Charles DickensGish Jen
1987,Daniel Pool
1988,Jane Smiley
1990,Charles DickensPatricia InghamHablot Knight Browne
1991,Jared Diamond
1993,Jared Diamond
1999,Colleen Sexton
2002,JK Rowling
2004,Philip Nel
2005,JK Rowling
2010,Frank Herbert
2011,Frank Herbert
2015,Frank Herbert
2019,Sean OBrien
2022,AristophanesBB Rogers
2025,AristophanesJeffrey Henderson
2026,Radcliffe G Edmonds III
2028,AristophanesRobert Mayhew
2034,AristophanesFW HallWM Geldart
2043,Paul Anthony Cartledge
2045,Raymond ChandlerFrank MacShane
2046,Raymond ChandlerFrank MacShane
2048,Raymond ChandlerTom Hiney
2049,Raymond Chandler
2051,Raymond Chandler
2052,Raymond Chandler
2054,Raymond Chandler
2056,Paul Murray
2057,Patti   Davis
2058,Masaki YamadaYuji OnikiCarl Gustav Horn
2059,Raymond Chandler
2067,Daniel C Dennett
2068,Daniel C Dennett
2071,Daniel C Dennett
2072,Daniel C Dennett
2074,Daniel C Dennett
2077,Nicholas HumphreyDaniel C Dennett
2078,Daniel C Dennett
2081,Douglas R HofstadterDaniel C Dennett
2093,Stephen Hawking
2094,Stephen HawkingLeonard Mlodinow
2095,Stephen Hawking
2096,Stephen Hawking
2099,David FilkinStephen Hawking
2100,Stephen HawkingKip S ThorneIgor NovikovTimothy FerrisAlan LightmanRichard     Price
2102,John Boslough
2103,Stephen HawkingRoger Penrose
2104,Lawrence M KraussStephen Hawking
2107,Phillip Glasier
2109,Timothy Ferris
2112,Ayn RandRobert MayhewPeter   Schwartz
2113,Ayn RandLeonard PeikoffDavid Harriman
2122,Ayn RandLeonard Peikoff
2123,Nancy L MacePeter V Rabins
2126,Jorge Cruise
2127,Thom HartmannJoseph Chilton PearceNeale Donald Walsch
2136,Michael Cunningham
2137,Michael Cunningham
2140,Malcolm Gladwell
2142,Ted Dekker
2144,Mark HoppusAnne HoppusAlex Gaskarth
2151,Jane AustenHugh  Thomson
2152,Karen Joy Fowler
2153,Jane Austen
2155,Jane AustenDeirdre Le Faye
2156,Jane AustenJames KinsleyAnna MasseyRichard S HartmetzMaurgaux MotinDeidre Shauna Lynch
2157,Kim WilsonTom Carpenter
2166,Ernest HemingwayDonald Sutherland
2167,Jeanne Sallade CriswellGary Carey
2176,Julian Barnes
2178,Gustave FlaubertFrancis Steegmuller
2179,Gustave FlaubertDouglas Parme
2182,Gustave FlaubertRoger WhitehouseGeoffrey Wall
2183,Gustave FlaubertRobert BaldickGeoffrey Wall
2186,JeanPaul SartreCarol Cosman
2187,Jeffrey Eugenides
2199,Doris Kearns Goodwin
2203,David McCullough
2204,Thomas MayJohn   Adams
2205,Abigail AdamsFrank Shuffelton
2209,Joseph J Ellis
2211,John  AdamsJohn Patrick Diggins
2218,Ruth Westheimer
2219,Jennifer Watson
2222,David D Burns
2226,Elisabeth KblerRoss
2227,Elisabeth KblerRoss
2228,Lynne Ann DeSpelderAlbert Lee Strickland
2236,Mark Shepard
2249,Stephen R Covey
2250,Stephen R Covey
2253,Stephen R Covey
2255,Dan Millman
2257,Dan MillmanRobert D San SouciT Taylor Bruce
